,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
167,E-commerce Management Manager,Offo Store LLP,Hyderabad,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,2 days ago,Job
168,Architect,GMS Architecture And Interior,Bangalore,Starts Immediately,"₹ 2,50,000 - 3,20,000",0-2 years,2 days ago,Job
169,Junior Media & Public Relations (PR) Associate,Emoticon,Hyderabad,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,2 days ago,Job
170,Sales Executive (InStore),RevoCap Solutions,"Mumbai, Navi Mumbai, Thane",Starts Immediately,"₹ 2,25,000 - 2,75,000",0-2 years,3 days ago,Job
171,Research Analyst,TheCoinRepublic,"Bhopal, Indore",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 day ago,Job
172,Trader,TheCoinRepublic,"Indore, Bhopal",Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 day ago,Job
173,Graduate Management Trainee,Rusk Media,Mumbai,Starts Immediately,"₹ 3,60,000 - 4,80,000",0-2 years,3 days ago,Job
174,Soft Skill Trainer,Astrotalk,Noida,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 weeks ago,Job
175,Inside Sales Associate (Academic Counsellor),IIDE Education Private Limited,Delhi,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,2 days ago,Job
176,Business Development Associate,One Management International (London Market),Delhi,Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,3 days ago,Job
177,Sales Coordinator,Dialmaz Exports,Delhi,Starts Immediately,"₹ 2,00,000 - 2,76,000",0-2 years,2 days ago,Job
178,Graduate Management Trainee,Rusk Media,Delhi,Starts Immediately,"₹ 3,60,000 - 4,80,000",0-2 years,3 days ago,Job
179,Fashion Stylist,LetsDressUp,Gurgaon,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,2 days ago,Job
180,Field Sales Executive/BDE,Zigsaw Consultancy,"Chennai, Hyderabad, Mumbai",Starts Immediately,"₹ 3,60,000",0-2 years,1 day ago,Job
181,Junior Manager- Travel And Tourism,Triluxo Technologies Private Limited,Noida,Starts Immediately,"₹ 2,50,000 - 4,50,000",0-2 years,3 days ago,Job
182,Backend Operations Executive,APSK Production & Entertainment Private Limited,Agra,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 days ago,Job
183,Business Development Associate,SkillGenic Academy,Indore,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,3 days ago,Job
184,SEO Executive,Numismatic Coin Collections Private Limited,Meerut,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,3 days ago,Job
185,Operations Manager,Mastork Technologies,Delhi,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,2 days ago,Job
186,Executive Assistant - CEO,Sharedpro,Vadodara,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,4 days ago,Job
187,Customer Sales Executive,Gypsy Soul,Pune,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,2 days ago,Job
188,Field Sales Executive,HAMVEE TEC PRIVATE LIMITED,Hyderabad,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,Job
189,Facebook & Google Ad Expert,Numismatic Coin Collections Private Limited,Meerut,Starts Immediately,"₹ 2,00,000",0-2 years,3 days ago,Job
190,Business Development Executive,SimplyFI Softech India Private Limited,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,Job
